log(h)	log(maximum)	t/s
-1.09861  -0.555557  0.004
-1.60944  -1.28758  0.003
-2.19722  -2.33482  0.003
-2.83321  -3.56338  0.003
-3.49651  -4.87734  0.004
-4.17439  -6.22969  0.007
-4.85981  -7.59966  0.008
-5.54908  -8.97796  0.017
-6.24028  -10.3603  0.033
-6.93245  -11.7446  0.074
-7.62511  -13.13  0.132
-8.31801  -14.5158  0.265
-9.01104  -15.9018  0.419
-9.70412  -17.2882  0.944
-10.3972  -18.655  1.658
-11.0904  -19.8094  3.396
-11.7835  -20.5162  6.861
-12.4767  -17.6906  13.048
-13.1698  -14.7529  26.504
-13.8629  -13.9581  53.551
-14.5561  -13.7319  100.17
